forms, half, fully
nb, 1e-7, 1e-5
2, 3.165382210999951, 5.846697244000097
4, 5.3281183490000785, 11.59291561300006
6, 7.708442581000099, 17.019899527000007
8, 10.068967791999967, 22.49662996899997
16, 19.961053788000072, 45.68928162399993
32, 39.71099953099997, 88.18366359300012
